image_path,class_name,file_extension,width,height
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0001.png,Damaged_Infrastructure,.png,260,194
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0002.png,Damaged_Infrastructure,.png,275,183
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0003.png,Damaged_Infrastructure,.png,300,168
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0004.png,Damaged_Infrastructure,.png,276,183
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0005.png,Damaged_Infrastructure,.png,308,164
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0006.png,Damaged_Infrastructure,.png,300,168
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0007.png,Damaged_Infrastructure,.png,275,183
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0008.png,Damaged_Infrastructure,.png,275,183
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0009.png,Damaged_Infrastructure,.png,276,183
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0010.png,Damaged_Infrastructure,.png,225,225
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0011.png,Damaged_Infrastructure,.png,300,168
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0012.png,Damaged_Infrastructure,.png,300,168
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0013.png,Damaged_Infrastructure,.png,259,194
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0014.png,Damaged_Infrastructure,.png,280,180
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0015.png,Damaged_Infrastructure,.png,275,183
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0016.png,Damaged_Infrastructure,.png,259,194
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0017.png,Damaged_Infrastructure,.png,259,194
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0018.png,Damaged_Infrastructure,.png,275,183
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0019.png,Damaged_Infrastructure,.png,260,194
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0020.png,Damaged_Infrastructure,.png,276,183
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0021.png,Damaged_Infrastructure,.png,259,194
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0022.png,Damaged_Infrastructure,.png,290,174
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0023.png,Damaged_Infrastructure,.png,299,168
Comprehensive Disaster Dataset(CDD)/Damaged_Infrastructure/Earthquake/05_02_0024.png,Damaged_Infrastructure,.png,300,168
