evidence_id,case_id,evidence_type,file_path,source_type,uploaded_at,description,verification_status
EVIDENCE-0001,CASE-0001,image,data/raw/images/synthetic/demo_case_evidence/CASE-0001_damage_scene.svg,synthetic_demo,2026-09-09,Synthetic illustrated damage scene for linkage testing,unreviewed
EVIDENCE-0002,CASE-0001,supporting_document,data/raw/documents/case_evidence/synthetic_case_support_CASE-0001.txt,synthetic_demo,2026-09-09,Synthetic case-support note for linkage testing,unreviewed
EVIDENCE-0003,CASE-0002,image,data/raw/images/synthetic/demo_case_evidence/CASE-0002_damage_scene.svg,synthetic_demo,2026-09-09,Synthetic illustrated flood scene for linkage testing,unreviewed
EVIDENCE-0004,CASE-0002,supporting_document,data/raw/documents/case_evidence/synthetic_case_support_CASE-0002.txt,synthetic_demo,2026-09-09,Synthetic incident note for linkage testing,unreviewed
EVIDENCE-0005,CASE-0003,image,data/raw/images/synthetic/demo_case_evidence/CASE-0003_damage_scene.svg,synthetic_demo,2026-09-09,Synthetic illustrated fire scene for linkage testing,unreviewed
EVIDENCE-0006,CASE-0003,supporting_document,data/raw/documents/case_evidence/synthetic_case_support_CASE-0003.txt,synthetic_demo,2026-09-09,Synthetic assistance request for linkage testing,unreviewed
EVIDENCE-0007,CASE-0004,image,data/raw/images/synthetic/demo_case_evidence/CASE-0004_damage_scene.svg,synthetic_demo,2026-09-09,Synthetic illustrated infrastructure scene for linkage testing,unreviewed
EVIDENCE-0008,CASE-0004,supporting_document,data/raw/documents/case_evidence/synthetic_case_support_CASE-0004.txt,synthetic_demo,2026-09-09,Synthetic case-support note for linkage testing,unreviewed
EVIDENCE-0009,CASE-0005,image,data/raw/images/synthetic/demo_case_evidence/CASE-0005_damage_scene.svg,synthetic_demo,2026-09-09,Synthetic illustrated debris scene for linkage testing,unreviewed
EVIDENCE-0010,CASE-0005,supporting_document,data/raw/documents/case_evidence/synthetic_case_support_CASE-0005.txt,synthetic_demo,2026-09-09,Synthetic incident note for linkage testing,unreviewed
EVIDENCE-0011,CASE-0006,image,data/raw/images/synthetic/demo_case_evidence/CASE-0006_damage_scene.svg,synthetic_demo,2026-09-09,Synthetic illustrated shelter scene for linkage testing,unreviewed
EVIDENCE-0012,CASE-0006,supporting_document,data/raw/documents/case_evidence/synthetic_case_support_CASE-0006.txt,synthetic_demo,2026-09-09,Synthetic assistance request for linkage testing,unreviewed
EVIDENCE-0013,CASE-0007,image,data/raw/images/synthetic/demo_case_evidence/CASE-0007_damage_scene.svg,synthetic_demo,2026-09-09,Synthetic illustrated road scene for linkage testing,unreviewed
EVIDENCE-0014,CASE-0007,supporting_document,data/raw/documents/case_evidence/synthetic_case_support_CASE-0007.txt,synthetic_demo,2026-09-09,Synthetic case-support note for linkage testing,unreviewed
EVIDENCE-0015,CASE-0008,image,data/raw/images/synthetic/demo_case_evidence/CASE-0008_damage_scene.svg,synthetic_demo,2026-09-09,Synthetic illustrated water-damage scene for linkage testing,unreviewed
EVIDENCE-0016,CASE-0008,supporting_document,data/raw/documents/case_evidence/synthetic_case_support_CASE-0008.txt,synthetic_demo,2026-09-09,Synthetic incident note for linkage testing,unreviewed
