donation_id,donor_id,case_id,amount,date
DONATION-0001,DONOR-078,CASE-0441,2306.40,2025-11-05
DONATION-0002,DONOR-082,CASE-0167,1836.04,2026-05-27
DONATION-0003,DONOR-055,CASE-0251,896.53,2026-08-23
DONATION-0004,DONOR-001,CASE-0136,2327.64,2026-04-01
DONATION-0005,DONOR-005,CASE-0117,2481.10,2026-06-26
DONATION-0006,DONOR-057,CASE-0134,1850.03,2026-09-03
DONATION-0007,DONOR-063,CASE-0437,656.28,2026-04-24
DONATION-0008,DONOR-060,CASE-0049,386.64,2026-07-31
DONATION-0009,DONOR-031,CASE-0258,904.19,2026-05-19
DONATION-0010,DONOR-075,CASE-0435,994.10,2026-03-21
DONATION-0011,DONOR-025,CASE-0322,860.83,2026-08-22
DONATION-0012,DONOR-075,CASE-0119,1266.60,2026-09-02
DONATION-0013,DONOR-066,CASE-0278,1045.88,2026-08-09
DONATION-0014,DONOR-017,CASE-0229,1646.35,2026-08-15
DONATION-0015,DONOR-065,CASE-0094,94.54,2025-06-17
DONATION-0016,DONOR-032,CASE-0035,377.26,2026-04-12
DONATION-0017,DONOR-075,CASE-0405,88.33,2026-02-01
DONATION-0018,DONOR-044,CASE-0480,523.48,2026-05-12
DONATION-0019,DONOR-013,CASE-0045,452.45,2026-08-24
DONATION-0020,DONOR-057,CASE-0193,1357.73,2026-08-22
DONATION-0021,DONOR-008,CASE-0128,855.57,2026-03-13
DONATION-0022,DONOR-055,CASE-0226,113.64,2026-04-29
DONATION-0023,DONOR-084,CASE-0480,1696.37,2026-08-31
DONATION-0024,DONOR-029,CASE-0027,984.29,2026-07-08
DONATION-0025,DONOR-056,CASE-0162,2133.76,2026-07-25
DONATION-0026,DONOR-061,CASE-0211,309.59,2026-07-24
DONATION-0027,DONOR-085,CASE-0074,2462.77,2026-07-01
DONATION-0028,DONOR-053,CASE-0254,480.77,2026-06-12
DONATION-0029,DONOR-002,CASE-0284,1573.11,2025-12-20
DONATION-0030,DONOR-060,CASE-0050,953.47,2025-07-23
DONATION-0031,DONOR-074,CASE-0072,451.49,2025-08-08
DONATION-0032,DONOR-095,CASE-0442,1093.73,2026-04-25
DONATION-0033,DONOR-065,CASE-0392,83.78,2026-07-18
DONATION-0034,DONOR-053,CASE-0403,1800.04,2026-09-05
DONATION-0035,DONOR-074,CASE-0345,2068.10,2026-02-07
DONATION-0036,DONOR-083,CASE-0445,2108.56,2025-11-23
DONATION-0037,DONOR-093,CASE-0091,1555.22,2025-10-25
DONATION-0038,DONOR-085,CASE-0071,2395.06,2025-11-03
DONATION-0039,DONOR-097,CASE-0300,1626.68,2026-08-31
DONATION-0040,DONOR-022,CASE-0399,1471.50,2026-08-06
DONATION-0041,DONOR-064,CASE-0256,1573.07,2025-12-14
DONATION-0042,DONOR-087,CASE-0222,980.22,2026-07-10
DONATION-0043,DONOR-082,CASE-0104,1945.53,2026-05-23
DONATION-0044,DONOR-099,CASE-0487,1124.66,2026-07-27
DONATION-0045,DONOR-060,CASE-0323,488.32,2025-11-22
DONATION-0046,DONOR-090,CASE-0180,1855.38,2026-07-24
DONATION-0047,DONOR-093,CASE-0139,2449.01,2025-08-30
DONATION-0048,DONOR-003,CASE-0027,1442.75,2025-08-24
DONATION-0049,DONOR-023,CASE-0104,1257.73,2026-03-23
DONATION-0050,DONOR-027,CASE-0120,565.32,2026-08-27
DONATION-0051,DONOR-065,CASE-0119,1652.22,2026-02-09
DONATION-0052,DONOR-090,CASE-0061,841.95,2026-05-01
DONATION-0053,DONOR-037,CASE-0158,751.12,2025-11-22
DONATION-0054,DONOR-029,CASE-0182,2213.45,2025-09-27
DONATION-0055,DONOR-053,CASE-0365,850.15,2025-08-31
DONATION-0056,DONOR-092,CASE-0281,2184.13,2026-08-25
DONATION-0057,DONOR-055,CASE-0491,1141.41,2026-06-01
DONATION-0058,DONOR-032,CASE-0309,240.87,2026-08-25
